cycle,fem_E_el,fem_E_d,fem_total_energy,fem_d_max,fem_d_mean,d_p99,d_p999,fem_alpha_bar_monitor_max,fem_alpha_bar_elem_max,alpha_bar_elem_p999,alpha_bar_elem_p99,fem_alpha_bar_elem_mean,fem_f_min,f_fatigue_p001,f_fatigue_mean,fem_psi_max,psi_plus_elem_p999,psi_plus_elem_p99,psi_plus_elem_mean,psi_tip_top10_mean,psi_nominal_mean,fem_Kt_proxy,x_max_d,y_max_d,x_max_alpha_bar_elem,y_max_alpha_bar_elem,x_min_f_fatigue_elem,y_min_f_fatigue_elem,x_max_psi_plus_elem,y_max_psi_plus_elem,fem_x_tip_d095,y_tip_d095,x_tip_d090,y_tip_d090,x_tip_d050,y_tip_d050,width_y_d050_near_tip,width_y_d090_near_tip,n_elem_d050_near_tip,n_elem_d090_near_tip,fem_right_boundary_d095_count,right_boundary_d095_yspan,pidl_E_el,pidl_E_d,pidl_E_hist,pidl_alpha_max,pidl_hist_max,pidl_hist_mean,pidl_f_min,pidl_psi_max,pidl_Kt,pidl_x_tip,pidl_alpha_bar_saved_max,pidl_alpha_bar_saved_mean,pidl_saved_f_min,ratio_E_el_pidl_over_fem,ratio_E_d_pidl_over_fem,ratio_hist_max_pidl_over_fem_elem,ratio_hist_mean_pidl_over_fem_elem,ratio_f_min_pidl_over_fem,delta_x_tip_pidl_minus_fem_d095,ratio_Kt_pidl_over_fem_proxy
1,0.00485565,5.07731e-07,0.00485616,0.0768980612801551,3.18983973358806e-05,-3.59574554220648e-06,0.0117407968339646,2.52817,1.28802505196064,0.159130494101168,0.0546784541841144,0.0112818461096808,0.466689326712252,1.0,0.999958144756633,1.51702588943425,0.161633203859124,0.054678090833163,0.0113116342201754,0.971946066787072,0.0065938244121437,12.1409422762751,0.0006,-0.00035,-0.00045,-0.0004,0.000525,0.0005,-0.00045,-0.0004,,,,,,,,,0,0,0,0.0,0.0048081190325319,0.0054709231480956,0.0,1.0005749464035034,0.7367163896560669,0.0124503662809729,0.6538223028182983,0.3754083216190338,7.584731662460618,0.0,0.7367163896560669,0.012450366280972958,0.6538223576407828,0.9902112039648451,10775.239542386815,0.5719736495300557,1.1035752624111232,1.4009797640421022,,0.6247234761409022
2,0.00485449,2.39495e-06,0.00485689,0.138403574393864,4.55528374275051e-05,-6.64780866962098e-06,0.0163981690774703,4.89122,2.56764586607677,0.316212021514813,0.109488182532293,0.0225636388379772,0.175025042548312,1.0,0.999853280392746,1.74945623541746,0.164837108762307,0.0546573515553105,0.0113322478035542,1.0916435936611,0.0065926078246788,12.8680225838528,0.0006,-0.00035,-0.00045,-0.0004,0.000525,0.0005,-0.00045,-0.0004,,,,,,,,,0,0,0,0.0,0.0048053031787276,0.0054618204012513,0.0,1.000653624534607,1.119983196258545,0.0186425149440765,0.3810473978519439,0.3832668364048004,7.5859145175825615,0.0,1.119983196258545,0.018642514944076538,0.3810473806137034,0.9898677675157637,2280.5571729060316,0.43619067997481337,0.8262193468856186,2.1771021580912557,,0.5895167239682658
3,0.00485174,1.41238e-05,0.00486587,0.265931032799579,8.09106075670482e-05,-9.24768243958697e-06,0.0278999771563443,6.89289,3.83798126444267,0.479208008143106,0.16412580504185,0.0338429144141139,0.0822174777163671,0.989021358831206,0.999670330834599,2.57227169003306,0.168750998175017,0.054568347302725,0.0113862062091849,1.42474915676988,0.0065899247066571,14.7037793871643,0.0006,-0.00035,-0.00045,-0.0004,0.0006,-0.00035,0.0006,-0.00035,,,,,,,,,0,0,0,0.0,0.0048022605478763,0.0054495688527822,0.0,1.000606656074524,1.474104404449463,0.0248168315738439,0.2566018402576446,0.3829941153526306,7.528084100301042,0.0,1.474104404449463,0.024816831573843956,0.2566018393131333,0.9898017098765185,385.8429638469959,0.3840832726585819,0.7332947532288843,3.1210132855554953,,0.5119829332363829
4,0.00482873,0.000125612,0.00495434,0.93538449877896,0.0003452437029909,-1.14092907282312e-05,0.100007704462523,8.16887,6.5451455473975,0.644234722946564,0.21961404017419,0.0451586646485184,0.0485786081519582,0.764882761989523,0.99938798371899,90.9928662135504,0.198612975086388,0.0550851048209193,0.0136198035636443,17.7229591334478,0.0065671073976601,51.9494625253525,0.0006,-0.00035,-0.00045,-0.0004,0.0006,-0.00035,0.0006,-0.00035,,,0.0006,-0.00035,0.00175,-0.00115,0.00175,0.0,7,1,0,0.0,0.0047990921884775,0.0054357079789042,0.0,1.0005851984024048,1.8097518682479856,0.0309774987399578,0.1874430328607559,0.3630914390087127,7.525539700365714,0.0,1.8097518682479858,0.03097749873995781,0.18744305153679597,0.9938621932635496,43.27379532930134,0.2765029219201373,0.6859702114990269,3.8585509134888643,,0.1448627056861865
5,0.00480511,0.000165082,0.0049702,1.00769154814667,0.0006524238976429,-1.3173696313682e-05,0.18495353490007,17.1267,10.332426423952,0.844953023693058,0.276259086607534,0.0564730361646372,0.0166004280013925,0.556664351708821,0.999035469050213,316.796035013926,0.238649214824346,0.0551397362138188,0.0226529950920233,85.6968870922495,0.0065437445712848,114.437761473533,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.0006,-0.00035,0.00165,-0.0003,0.00265,-0.000275,0.0048,-0.00095,0.003575,7.5e-05,20,3,0,0.0,0.0047859316691756,0.0054311035200953,0.0,1.0006614923477173,2.1495938301086426,0.0371163599193096,0.1424430906772613,0.3830268383026123,7.5033951765157685,0.003252354683354497,2.1495938301086426,0.037116359919309616,0.14244309203349806,0.9960087634155306,32.89942889046232,0.20804346838856605,0.6572403830228534,8.580687839211897,0.001602354683354497,0.0655674759790818
6,0.00477568,0.000201671,0.00497735,1.01489166540964,0.0010892269525588,0.0003125899242712,0.325763899481045,27.9367,14.6666168974779,0.979984906938176,0.333655190104442,0.0677941425996559,0.0080068148048684,0.462627588353573,0.998619592294218,572.104987575477,0.33598233844897,0.0562182683333034,0.0424835952303011,235.962605662477,0.0065141939308324,190.322989101885,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.00165,-0.0003,0.004625,-7.5e-05,0.004625,-7.5e-05,0.0076,-0.000425,0.004475,0.000275,40,5,0,0.0,0.0047606900334358,0.005435568280518,0.0,1.0006808042526243,2.3830525875091553,0.0432256385684013,0.1203080937266349,0.4446184635162353,7.957298545572609,0.005213466938585043,2.3830525875091553,0.04322563484311104,0.12030810102443644,0.9968611869798227,26.952651995170353,0.16248140959616594,0.6376013754412568,15.025712053872374,0.0005884669385850432,0.04180944500253121
7,0.00474113,0.000243963,0.00498509,1.01747025885883,0.0016642726727526,0.0100091004686452,0.445728871717842,38.2709,18.8278615467625,1.09586578382218,0.394096608406866,0.0791312282495348,0.0052514049365161,0.394316681391793,0.998080522904941,888.810813434505,0.450848672054647,0.0570367326841622,0.0786239876507536,504.229994532687,0.0064790193627116,278.971411174369,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.00165,-0.0003,0.0076,-0.000425,0.00845,-0.0004,0.011375,0.00075,0.00555,0.00105,62,11,0,0.0,0.004731660708785,0.0054431613534688,0.0,1.0007100105285645,2.4338858127593994,0.0493046641349792,0.1161752417683601,0.4766480028629303,8.187129664151044,0.010456142947077751,2.4338858127593994,0.049304667860269547,0.1161752420311966,0.9980027353784857,22.31142162323303,0.129270432901495,0.6230746726121879,22.12269729201903,0.002856142947077751,0.029347557979816575
8,0.00471147,0.000280359,0.00499183,1.01854019781024,0.0022183592410669,0.0229168025026195,0.564078605765054,47.7169,22.6464778353505,1.20046636615496,0.452826007481176,0.090454111626096,0.0041579644644988,0.346558523342461,0.997433141683424,1155.44572954689,0.579780532528242,0.0581238777742531,0.117622095529558,733.453600406875,0.0064489899484131,337.241080731133,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.00165,-0.0003,0.0102,-2.5e-05,0.011275,-0.000175,0.0144,-0.001725,0.00675,0.001475,83,14,0,0.0,0.0047050467692315,0.0054481304250657,0.0,1.0007270574569702,2.462283134460449,0.0553580708801746,0.1139585450291633,0.5354892015457153,8.280522773946444,0.012417255900800228,2.462283134460449,0.05535807088017464,0.11395853777771062,0.9986366822311296,19.43269317220314,0.10872697963728807,0.612001708767032,27.407291717414868,0.0022172559008002274,0.02455371912577913
9,0.00467535,0.000326106,0.00500145,1.01994368142375,0.0029270469415428,0.0459442003526544,0.687333696921991,56.2842,26.1893066054461,1.28925735898212,0.50626073402215,0.101797476183041,0.0035524272512692,0.313215970903388,0.996691725794064,1477.42666707451,0.838468442589345,0.0603391826764989,0.187883840361608,1016.72409068439,0.0064118150796292,398.208992075252,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.00165,-0.0003,0.0142,-0.0001,0.0149,0.0002,0.018575,0.001025,0.0069,0.0018,104,20,0,0.0,0.0046740593388676,0.0054564238525927,0.0,1.00068199634552,2.4717202186584473,0.0613833367824554,0.1132359132170677,0.4315508902072906,8.35145742362384,0.016339480876922607,2.4717202186584473,0.061383336782455444,0.1132359066798197,0.9997239434197654,16.732055995880785,0.09437898665650239,0.6029946820300599,31.87564591973309,0.0021394808769226066,0.020972548560745746
10,0.00463956,0.000370569,0.00501013,1.02038750455919,0.003636207083585,0.0759110563235259,0.782367354263149,64.2091,29.5663378663801,1.34435650524302,0.557050159571395,0.113094770648338,0.0030638452770433,0.2955813175968,0.995917320353827,1791.43643282693,0.988861097606262,0.0614960890326919,0.287344388684377,1390.33441917705,0.0063746049681432,467.017332285275,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.00165,-0.0003,0.018225,-1.0164395367051601e-20,0.018925,0.000275,0.022425,-0.001525,0.007425,0.0018,118,26,0,0.0,0.0046467930078506,0.0054625812917947,0.0,1.0007128715515137,2.654787063598633,0.0673812702298164,0.100475437939167,0.5183942914009094,8.386580939898685,0.019621044397354126,2.654787063598633,0.06738127022981644,0.1004754355270687,1.0015589857336902,14.74106385530009,0.08979086539552106,0.5957947466849264,32.79390075341165,0.0013960443973541244,0.017957750944403467
